field1,field2,similarity_score
Artificial Intelligence,Machine Learning,0.8982328031089091
Artificial Intelligence,Computer Vision,0.7455488529068396
Artificial Intelligence,Robotics,0.7403774269381476
Artificial Intelligence,Data Science,0.7336125743980082
Artificial Intelligence,Cybersecurity,0.2521639142198213
Artificial Intelligence,Information Security,0.34912030851464393
Artificial Intelligence,Ethical Hacking,0.29174439414463743
Artificial Intelligence,Cryptography,0.18791192226048678
Artificial Intelligence,Human-Computer Interaction,0.07858303013419671
Artificial Intelligence,Interface Design,0.11173176638040949
Artificial Intelligence,Usability Evaluation,0.07082593593161736
Artificial Intelligence,User Research,0.04663373826125024
Artificial Intelligence,Immersive Technologies,0.08456343711382448
Artificial Intelligence,Data Visualization,0.1451000728351914
Artificial Intelligence,Game Development,0.4612963754222489
Artificial Intelligence,Game Design,0.3980509218386624
Artificial Intelligence,Digital Animation,0.5737976277609611
Artificial Intelligence,3D Modeling,0.5949316104974247
Artificial Intelligence,3D Animation,0.5648384725439053
Artificial Intelligence,Computer Graphics,0.5727176367996898
Artificial Intelligence,Digital Art,0.5315198382469422
Artificial Intelligence,Sound Design,0.030424982124514714
Artificial Intelligence,Interactive Media,0.06658448386615162
Artificial Intelligence,Media Production,0.02682147100892224
Artificial Intelligence,Health,0.03568102286582582
Artificial Intelligence,Digital Healthcare,0.20776494599114845
Artificial Intelligence,Neuroscience,0.5874360783934066
Artificial Intelligence,Cognitive Psychology,0.06033409065390918
Artificial Intelligence,Physical Computing,0.16307066197039094
Artificial Intelligence,Smart Engineering,0.6571753919240985
Artificial Intelligence,Software Engineering,0.0929371011672842
Artificial Intelligence,Web Technologies,0.14991828089552994
Artificial Intelligence,Mobile Development,0.020861995015626564
Machine Learning,Computer Vision,0.7463143530206461
Machine Learning,Robotics,0.7379437796727477
Machine Learning,Data Science,0.7419399282207513
Machine Learning,Cybersecurity,0.20751182682185854
Machine Learning,Information Security,0.2739278618210262
Machine Learning,Ethical Hacking,0.23958780636810062
Machine Learning,Cryptography,0.14672072131975317
Machine Learning,Human-Computer Interaction,0.039887072566525524
Machine Learning,Interface Design,0.0653736534142152
Machine Learning,Usability Evaluation,0.07683207122849986
Machine Learning,User Research,0.05368177312454426
Machine Learning,Immersive Technologies,0.07304069481581976
Machine Learning,Data Visualization,0.17174381203331698
Machine Learning,Game Development,0.4854051063035403
Machine Learning,Game Design,0.4108620319199982
Machine Learning,Digital Animation,0.5710905733742973
Machine Learning,3D Modeling,0.5932746371069361
Machine Learning,3D Animation,0.5465644672011221
Machine Learning,Computer Graphics,0.5841299472639824
Machine Learning,Digital Art,0.4701305845053232
Machine Learning,Sound Design,0.02165190650761059
Machine Learning,Interactive Media,0.02795613470794052
Machine Learning,Media Production,0.018661695613635853
Machine Learning,Health,0.025720703400301793
Machine Learning,Digital Healthcare,0.1884074145735545
Machine Learning,Neuroscience,0.5354265059180406
Machine Learning,Cognitive Psychology,0.035280970141873716
Machine Learning,Physical Computing,0.15295544656023885
Machine Learning,Smart Engineering,0.6697113200237741
Machine Learning,Software Engineering,0.09159464445312662
