,Artificial Intelligence,Machine Learning,Quantum Computing,Computer Vision,Data Science,Robotics,Cybersecurity,Information Security,Ethical Hacking,Cryptography,Human-Computer Interaction,Interface Design,Usability Evaluation,User Research,Immersive Technologies,Data Visualization,Game Development,Game Design,Animation & Digital Media,Computer Graphics,Sound Design,Interactive Media,Media Production,Digital Arts & Culture,Media Studies,Health,Digital Healthcare,Nutritional Science,Neuroscience,Cognitive Neuroscience,Cognitive Psychology,Physical Computing,Smart Engineering,Climate Science,Renewable Energy,Web Technologies,Mobile Development,Software Engineering
Artificial Intelligence,1.0,0.8727937,0.79888016,0.837272,0.8276446,0.82282203,0.2926867,0.30510753,0.29159492,0.2648646,0.40097216,0.35235643,0.35208347,0.33572003,0.29572815,0.33147174,0.2425715,0.28707796,0.33096725,0.36791915,0.22658952,0.40854228,0.1825465,0.35568416,0.13225059,0.079052866,0.29638118,0.0960575,0.37186962,0.44603145,0.4466677,0.35519502,0.43836343,0.20767447,0.17720884,0.24240455,0.16206959,0.30383682
Machine Learning,0.8727937,1.0,0.8060265,0.84191525,0.8424018,0.82232064,0.23513193,0.2525327,0.29365158,0.2637436,0.25720027,0.26225474,0.2954309,0.32338318,0.17273416,0.34685177,0.12529,0.19096,0.218132,0.34118575,0.14258924,0.28159046,0.07808848,0.255822,0.049309447,0.05365644,0.2673551,0.11347996,0.28404272,0.32978433,0.32712358,0.41447333,0.45624718,0.17162748,0.16164002,0.26101452,0.21721706,0.31238398
Quantum Computing,0.79888016,0.8060265,1.0,0.78937674,0.7759677,0.7781836,0.09008699,0.14577457,0.16284588,0.30634248,0.08425084,0.024108376,0.09247317,0.024356645,0.077362224,0.1188192,-0.016377771,0.0039848806,0.02343009,0.13682121,-0.022576464,0.10425725,-0.040324915,0.14949831,0.033453394,-0.05120187,0.11070138,-0.033503648,0.21316536,0.1569823,0.11764587,0.37812406,0.11942789,0.062670626,0.104454935,0.09711111,0.0167374,0.12529136
Computer Vision,0.837272,0.84191525,0.78937674,1.0,0.82211107,0.81231517,0.25500226,0.357285,0.20210278,0.20786247,0.2900378,0.3830921,0.3039682,0.2795898,0.36816335,0.44535124,0.17859836,0.24299346,0.4242094,0.58461344,0.28543928,0.37672874,0.28216967,0.34167808,0.20280126,0.07538368,0.2992242,0.11335565,0.32930493,0.32665998,0.38480818,0.34335664,0.32727313,0.1943058,0.21601689,0.27983665,0.16144137,0.29562756
Data Science,0.8276446,0.8424018,0.7759677,0.82211107,1.0,0.79318035,0.29576212,0.33707848,0.19783941,0.15035172,0.192162,0.27839395,0.23376182,0.37186217,0.22143854,0.5613545,0.25578457,0.30700475,0.2680821,0.27442658,0.20588055,0.32335514,0.16607124,0.31199104,0.21103176,0.19175434,0.30286545,0.24553105,0.27470922,0.25661796,0.2594295,0.21974972,0.37450212,0.31264403,0.24093398,0.2906401,0.15080309,0.35590225
Robotics,0.82282203,0.82232064,0.7781836,0.81231517,0.79318035,1.0,0.18562838,0.15457676,0.14664233,0.13267213,0.206977,0.28220057,0.19468932,0.23164982,0.236023,0.15537682,0.18017392,0.168107,0.3060922,0.2248114,0.18314067,0.22462642,0.123186424,0.21848688,-0.02147497,0.01650326,0.14684582,-0.009620413,0.25643134,0.22583556,0.11579003,0.5657904,0.5129927,0.21020624,0.2006441,0.15564752,0.14777029,0.24981527
Cybersecurity,0.2926867,0.23513193,0.09008699,0.25500226,0.29576212,0.18562838,1.0,0.8852856,0.83734214,0.84934753,0.22133201,0.24532758,0.25212374,0.23398744,0.24426658,0.20309392,0.17284167,0.1898995,0.21971324,0.19295107,0.17568116,0.18224937,0.1459901,0.26024738,0.17148943,0.023368502,0.33000046,0.04071624,0.07188415,0.09598834,0.15581445,0.28727803,0.26982227,0.17755793,0.15372369,0.3426221,0.14954607,0.32174206
Information Security,0.30510753,0.2525327,0.14577457,0.357285,0.33707848,0.15457676,0.8852856,1.0,0.8250508,0.8606677,0.27129066,0.347223,0.31685722,0.27496314,0.2868074,0.3261736,0.18097056,0.24366674,0.26291025,0.26326612,0.2627441,0.21138248,0.2294954,0.22200243,0.22091517,0.024418112,0.36514145,0.08223532,0.109537154,0.096143596,0.17747368,0.2660253,0.24709554,0.16375592,0.21203811,0.40769002,0.19634241,0.37632757
Ethical Hacking,0.29159492,0.29365158,0.16284588,0.20210278,0.19783941,0.14664233,0.83734214,0.8250508,1.0,0.83046645,0.23366833,0.14066672,0.26475182,0.21291089,0.10832495,0.1344265,0.21716097,0.17764464,0.09490282,0.10846137,0.091796085,0.12077636,0.009323163,0.2042902,0.11071855,0.073307216,0.17821231,0.050486628,0.13347127,0.1437845,0.1686065,0.1731549,0.12858865,0.11878362,0.1380951,0.25630364,0.18318598,0.28373
Cryptography,0.2648646,0.2637436,0.30634248,0.20786247,0.15035172,0.13267213,0.84934753,0.8606677,0.83046645,1.0,0.2318721,0.19979167,0.2520877,0.16111492,0.19849303,0.22628093,0.15029755,0.16871367,0.18121535,0.23708537,0.14877853,0.12721646,0.09671185,0.22423223,0.18368328,-0.056851435,0.22852038,0.01751147,0.0637251,0.1236354,0.13748842,0.2998548,0.20308216,0.11855761,0.16659752,0.29735112,0.14323686,0.25540745
