field1,field2,similarity_score
Artificial Intelligence,Machine Learning,0.9464239027705436
Artificial Intelligence,Computer Vision,0.8420696402550348
Artificial Intelligence,Robotics,0.8321984024665562
Artificial Intelligence,Data Science,0.8297423930236811
Artificial Intelligence,Cybersecurity,0.3951543280295085
Artificial Intelligence,Information Security,0.42656285401262467
Artificial Intelligence,Ethical Hacking,0.4195061934666383
Artificial Intelligence,Cryptography,0.3289982256507534
Artificial Intelligence,Human-Computer Interaction,0.2805226967423123
Artificial Intelligence,Interface Design,0.27282927237626375
Artificial Intelligence,Usability Evaluation,0.21024952104100356
Artificial Intelligence,User Research,0.21346541941327585
Artificial Intelligence,Immersive Technologies,0.19842239181744264
Artificial Intelligence,Data Visualization,0.4502330618955727
Artificial Intelligence,Game Development,0.30808361270535173
Artificial Intelligence,Game Design,0.23955725539088163
Artificial Intelligence,Digital Animation,0.27381036478327553
Artificial Intelligence,3D Modeling,0.3057649373127314
Artificial Intelligence,3D Animation,0.24887237341082008
Artificial Intelligence,Computer Graphics,0.30082372099860566
Artificial Intelligence,Digital Art,0.3871322911633424
Artificial Intelligence,Sound Design,0.12356526840235853
Artificial Intelligence,Interactive Media,0.2598025626225075
Artificial Intelligence,Media Production,0.1262753958663486
Artificial Intelligence,Health,0.21223668984850988
Artificial Intelligence,Digital Healthcare,0.3845069518015922
Artificial Intelligence,Neuroscience,0.562046022285634
Artificial Intelligence,Cognitive Psychology,0.25971633655227105
Artificial Intelligence,Physical Computing,0.36599021609617366
Artificial Intelligence,Smart Engineering,0.5405372990322644
Artificial Intelligence,Software Engineering,0.3936162881354834
Artificial Intelligence,Web Technologies,0.3311348920802431
Artificial Intelligence,Mobile Development,0.17959579053344615
Machine Learning,Computer Vision,0.8419211747715165
Machine Learning,Robotics,0.8218506202149515
Machine Learning,Data Science,0.8394319036680618
Machine Learning,Cybersecurity,0.25767650768600164
Machine Learning,Information Security,0.27241101410218105
Machine Learning,Ethical Hacking,0.2854392142950884
Machine Learning,Cryptography,0.19218916327483018
Machine Learning,Human-Computer Interaction,0.20419173920085687
Machine Learning,Interface Design,0.17643627744466955
Machine Learning,Usability Evaluation,0.20984654867160588
Machine Learning,User Research,0.25862417992310954
Machine Learning,Immersive Technologies,0.16096744180639544
Machine Learning,Data Visualization,0.4877864901401441
