field1,field2,similarity_score
Artificial Intelligence,Machine Learning,0.44407016951277345
Artificial Intelligence,Computer Vision,0.3050938363382165
Artificial Intelligence,Robotics,0.20198580496213286
Artificial Intelligence,Data Science,0.2492123252825697
Artificial Intelligence,Cybersecurity,0.16682239760465595
Artificial Intelligence,Information Security,0.15598853149787148
Artificial Intelligence,Ethical Hacking,0.16869028028781474
Artificial Intelligence,Cryptography,0.1161817803544114
Artificial Intelligence,Human-Computer Interaction,0.13138076960747425
Artificial Intelligence,Interface Design,0.11440851932787378
Artificial Intelligence,Usability Evaluation,0.08965949642634057
Artificial Intelligence,User Research,0.07583024252400412
Artificial Intelligence,Immersive Technologies,0.09074688706025892
Artificial Intelligence,Data Visualization,0.13837048414348865
Artificial Intelligence,Game Development,0.13186711635568318
Artificial Intelligence,Game Design,0.09207441964484232
Artificial Intelligence,Animation & Digital Media,0.10416583995068941
Artificial Intelligence,Computer Graphics,0.15169101677138505
Artificial Intelligence,Sound Design,0.04282033891456711
Artificial Intelligence,Interactive Media,0.10972860024924519
Artificial Intelligence,Media Production,0.04078752288771748
Artificial Intelligence,Digital Arts & Culture,0.08292262187105026
Artificial Intelligence,Media Studies,0.046118262327986735
Artificial Intelligence,Health,0.08624797614586184
Artificial Intelligence,Digital Healthcare,0.17770515070853704
Artificial Intelligence,Neuroscience,0.1388838870419913
Artificial Intelligence,Cognitive Psychology,0.11248476980750356
Artificial Intelligence,Physical Computing,0.16205140397378173
Artificial Intelligence,Smart Engineering,0.27969055271223137
Artificial Intelligence,Software Engineering,0.17414463588894166
Artificial Intelligence,Web Technologies,0.1443820214435744
Artificial Intelligence,Mobile Development,0.08084927711803358
Machine Learning,Computer Vision,0.2778089811383155
Machine Learning,Robotics,0.14877578350452283
Machine Learning,Data Science,0.3224066867641329
Machine Learning,Cybersecurity,0.12635481760641057
Machine Learning,Information Security,0.10380395008625105
Machine Learning,Ethical Hacking,0.1267117171125875
Machine Learning,Cryptography,0.08465583606718373
Machine Learning,Human-Computer Interaction,0.09264272792385228
Machine Learning,Interface Design,0.07353431824874483
Machine Learning,Usability Evaluation,0.08707066517334451
Machine Learning,User Research,0.08504731663832868
Machine Learning,Immersive Technologies,0.07234481278463117
Machine Learning,Data Visualization,0.14717939372734598
Machine Learning,Game Development,0.11474210608698975
Machine Learning,Game Design,0.07097566745799075
Machine Learning,Animation & Digital Media,0.07801889358796442
Machine Learning,Computer Graphics,0.1376646786913969
Machine Learning,Sound Design,0.03606813723523269
Machine Learning,Interactive Media,0.07393557208810186
Machine Learning,Media Production,0.033575067171222016
Machine Learning,Digital Arts & Culture,0.062490146780555735
Machine Learning,Media Studies,0.04301273932489223
